Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
81,"Sunday, Jul 2",BAL,TBR,W,7,1,,40-41,4,6.5,Gausman,Cobb,,2:39,D,26489,+,,2017,BAL
89,"Friday, Jul 14",BAL,CHC,L,8,9,,42-47,4,8.5,Uehara,Brach,Davis,3:42,N,34335,-,,2017,BAL
90,"Saturday, Jul 15",BAL,CHC,L,3,10,,42-48,4,8.5,Arrieta,Miley,,3:02,N,40258,--,,2017,BAL
91,"Sunday, Jul 16",BAL,CHC,L,0,8,,42-49,4,9.0,Quintana,Jimenez,,2:56,D,31105,---,,2017,BAL
92,"Monday, Jul 17",BAL,TEX,W,3,1,,43-49,4,8.0,Bleier,Cashner,Brach,2:55,N,14922,+,,2017,BAL
93,"Tuesday, Jul 18",BAL,TEX,W,12,1,,44-49,4,8.0,Bundy,Ross,,3:23,N,18119,++,,2017,BAL
94,"Wednesday, Jul 19",BAL,TEX,W,10,2,,45-49,4,8.0,Gausman,Perez,,2:50,N,15693,+++,,2017,BAL
95,"Thursday, Jul 20",BAL,TEX,W,9,7,,46-49,4,7.0,Castro,Hamels,,3:11,N,14691,++++,,2017,BAL
96,"Friday, Jul 21",BAL,HOU,L,7,8,,46-50,4,8.0,Fiers,Jimenez,Giles,3:02,N,25784,-,,2017,BAL
97,"Saturday, Jul 22",BAL,HOU,L,4,8,,46-51,4,8.0,Martes,O'Day,,3:28,N,32524,--,,2017,BAL
