Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,year,team
77,"Friday, Jun 21",ARI,SFG,L,5,11,,38-39,4,14.0,Samardzija,Clarke,,3:09,N,29312,-----,,2019,ARI
78,"Saturday, Jun 22",ARI,SFG,L,4,7,,38-40,4,15.0,Gott,Godley,Smith,3:20,N,32082,------,,2019,ARI
79,"Sunday, Jun 23",ARI,SFG,W-wo,3,2,10,39-40,3,15.0,Andriese,Melancon,,3:13,D,25071,+,,2019,ARI
80,"Monday, Jun 24",ARI,LAD,W,8,5,,40-40,3,14.0,Lopez,Floro,Holland,3:12,N,24675,++,,2019,ARI
81,"Tuesday, Jun 25",ARI,LAD,L,2,3,,40-41,3,15.0,Urias,Ray,Jansen,3:07,N,27927,-,,2019,ARI
82,"Wednesday, Jun 26",ARI,LAD,W,8,2,,41-41,3,14.0,Clarke,Gonsolin,,3:01,D,28752,+,,2019,ARI
89,"Friday, Jul 5",ARI,COL,W,8,0,,44-45,3,15.5,Greinke,Senzatela,,2:52,N,43056,+,,2019,ARI
90,"Saturday, Jul 6",ARI,COL,W,4,2,,45-45,2,14.5,Ray,Gray,Holland,3:11,N,28276,++,,2019,ARI
91,"Sunday, Jul 7",ARI,COL,W,5,3,,46-45,2,13.5,Young,Marquez,Holland,2:36,D,22964,+++,,2019,ARI
97,"Thursday, Jul 18",ARI,MIL,L,1,5,,49-48,2,14.0,Davies,Lopez,,2:59,N,23985,-,,2019,ARI
98,"Friday, Jul 19",ARI,MIL,W,10,7,,50-48,2,14.0,Bradley,Chacin,Holland,3:44,N,28505,+,,2019,ARI
99,"Saturday, Jul 20",ARI,MIL,L,3,8,,50-49,2,15.0,Houser,Chafin,,3:17,N,38567,-,,2019,ARI
100,"Sunday, Jul 21",ARI,MIL,L,4,7,,50-50,2,16.0,Peralta,Lopez,Hader,3:39,D,33111,--,,2019,ARI
101,"Monday, Jul 22",ARI,BAL,W,6,3,,51-50,2,15.5,Ray,Brooks,Holland,2:55,N,19192,+,,2019,ARI
102,"Tuesday, Jul 23",ARI,BAL,L,2,7,,51-51,3,15.5,Bundy,Kelly,,2:57,N,20253,-,,2019,ARI
103,"Wednesday, Jul 24",ARI,BAL,W,5,2,,52-51,2,14.5,Clarke,Means,Lopez,3:24,D,20452,+,,2019,ARI
110,"Friday, Aug 2",ARI,WSN,L,0,3,,54-56,3,17.0,Ross,Young,Doolittle,2:43,N,24298,--,,2019,ARI
111,"Saturday, Aug 3",ARI,WSN,W,18,7,,55-56,3,17.0,Ray,Strasburg,,3:46,N,33966,+,,2019,ARI
112,"Sunday, Aug 4",ARI,WSN,W,7,5,,56-56,2,17.0,Hirano,Suero,Bradley,3:07,D,22976,++,,2019,ARI
113,"Monday, Aug 5",ARI,PHI,L,3,7,,56-57,2,18.0,Velasquez,Kelly,,3:05,N,18319,-,,2019,ARI
114,"Tuesday, Aug 6",ARI,PHI,W,8,4,,57-57,2,18.0,Chafin,Suarez,,3:19,N,17446,+,,2019,ARI
115,"Wednesday, Aug 7",ARI,PHI,W,6,1,,58-57,2,18.0,Gallen,Vargas,,3:10,N,18140,++,,2019,ARI
122,"Thursday, Aug 15",ARI,SFG,L,0,7,,61-61,2,19.5,Rodriguez,Young,,2:44,N,19037,--,,2019,ARI
123,"Friday, Aug 16",ARI,SFG,L,9,10,11,61-62,3,20.5,Smith,Lopez,Gott,4:05,N,23642,---,,2019,ARI
124,"Saturday, Aug 17",ARI,SFG,L,6,11,,61-63,3,20.5,Webb,Clarke,,3:40,N,35366,----,,2019,ARI
125,"Sunday, Aug 18",ARI,SFG,W,6,1,,62-63,3,19.5,Kelly,Bumgarner,,3:19,D,26079,+,,2019,ARI
126,"Monday, Aug 19",ARI,COL,W,5,3,,63-63,3,19.0,Lopez,Davis,Bradley,2:51,N,15443,++,,2019,ARI
127,"Tuesday, Aug 20",ARI,COL,W,8,7,,64-63,2,19.0,Young,Freeland,Bradley,3:13,N,17691,+++,,2019,ARI
128,"Wednesday, Aug 21",ARI,COL,L,2,7,,64-64,2,20.0,Melville,Leake,,2:50,D,17707,-,,2019,ARI
134,"Thursday, Aug 29",ARI,LAD,W,11,5,,68-66,2,19.0,Andriese,Ryu,,3:23,N,22581,++++,,2019,ARI
135,"Friday, Aug 30",ARI,LAD,W,5,4,,69-66,2,18.0,Bradley,Garcia,,3:41,N,34149,+++++,,2019,ARI
136,"Saturday, Aug 31",ARI,LAD,W,6,5,,70-66,2,17.0,Ray,Kershaw,Bradley,3:11,N,50180,++++++,,2019,ARI
137,"Sunday, Sep 1",ARI,LAD,L,3,4,11,70-67,2,18.0,Sadler,Clarke,Baez,3:56,D,34439,-,,2019,ARI
138,"Monday, Sep 2",ARI,SDP,W,14,7,,71-67,2,18.0,Leake,Quantrill,,3:26,D,23477,+,,2019,ARI
139,"Tuesday, Sep 3",ARI,SDP,W,2,1,,72-67,2,18.0,Kelly,Bolanos,Bradley,3:08,N,15402,++,,2019,ARI
140,"Wednesday, Sep 4",ARI,SDP,W,4,1,,73-67,2,18.0,Gallen,Stammen,Bradley,2:55,N,18096,+++,,2019,ARI
148,"Friday, Sep 13",ARI,CIN,L,3,4,,75-73,2,20.5,Castillo,Leake,Iglesias,2:48,N,35158,------,,2019,ARI
149,"Saturday, Sep 14",ARI,CIN,W,1,0,,76-73,2,19.5,Kelly,DeSclafani,Bradley,2:15,N,35151,+,,2019,ARI
150,"Sunday, Sep 15",ARI,CIN,L,1,3,,76-74,2,20.5,Bauer,Gallen,Iglesias,2:55,D,25193,-,,2019,ARI
151,"Monday, Sep 16",ARI,MIA,W,7,5,,77-74,2,20.0,Hirano,Guerrero,Ginkel,3:24,N,15897,+,,2019,ARI
152,"Tuesday, Sep 17",ARI,MIA,L,6,12,,77-75,2,21.0,Smith,Andriese,,3:49,N,19745,-,,2019,ARI
153,"Wednesday, Sep 18",ARI,MIA,W,5,4,,78-75,2,20.0,Leake,Alcantara,Bradley,2:55,D,17731,+,,2019,ARI
157,"Monday, Sep 23",ARI,STL,L,7,9,,80-77,2,20.5,Wainwright,Young,Martinez,3:29,N,24826,--,,2019,ARI
158,"Tuesday, Sep 24",ARI,STL,W-wo,3,2,19,81-77,2,20.5,Ginkel,Brebbia,,6:53,N,26097,+,,2019,ARI
159,"Wednesday, Sep 25",ARI,STL,W,9,7,,82-77,2,20.5,Kelly,Fernandez,Bradley,3:52,D,21420,++,,2019,ARI
160,"Friday, Sep 27",ARI,SDP,W,6,3,,83-77,2,21.0,Scott,Perdomo,Bradley,3:03,N,32244,+++,,2019,ARI
161,"Saturday, Sep 28",ARI,SDP,W,6,5,,84-77,2,21.0,Sherfy,Bednar,Ginkel,3:05,N,46477,++++,,2019,ARI
162,"Sunday, Sep 29",ARI,SDP,W-wo,1,0,,85-77,2,21.0,Crichton,Strahm,,2:46,D,45446,+++++,,2019,ARI
9,"Friday, Apr 14",ATL,SDP,W,5,2,,3-6,4,3.0,Teheran,Chacin,Johnson,2:57,N,41149,++,,2017,ATL
10,"Saturday, Apr 15",ATL,SDP,W,4,2,,4-6,4,2.0,Dickey,Richard,Johnson,2:20,N,41149,+++,,2017,ATL
11,"Sunday, Apr 16",ATL,SDP,W,9,2,,5-6,4,1.5,Colon,Cahill,,2:46,D,37147,++++,,2017,ATL
12,"Monday, Apr 17",ATL,SDP,W-wo,5,4,,6-6,4,1.0,Johnson,Maurer,,2:48,N,24516,+++++,,2017,ATL
13,"Tuesday, Apr 18",ATL,WSN,L,1,3,,6-7,4,2.0,Scherzer,Foltynewicz,Kelley,3:09,N,21834,-,,2017,ATL
14,"Wednesday, Apr 19",ATL,WSN,L,4,14,,6-8,4,3.0,Ross,Teheran,,3:32,N,22101,--,,2017,ATL
15,"Thursday, Apr 20",ATL,WSN,L,2,3,,6-9,4,4.0,Strasburg,Dickey,Kelley,2:41,N,27498,---,,2017,ATL
24,"Monday, May 1",ATL,NYM,L,5,7,,10-14,5,6.5,Gsellman,Teheran,Familia,3:00,N,21668,--,,2017,ATL
25,"Tuesday, May 2",ATL,NYM,W,9,7,,11-14,3,5.5,Dickey,Harvey,Johnson,2:55,N,21359,+,,2017,ATL
26,"Wednesday, May 3",ATL,NYM,L,5,16,,11-15,5,6.5,deGrom,Colon,,3:34,N,22656,-,,2017,ATL
27,"Friday, May 5",ATL,STL,L,0,10,,11-16,5,8.0,Lynn,Foltynewicz,,3:13,N,34465,--,,2017,ATL
28,"Saturday, May 6",ATL,STL,L,3,5,,11-17,5,9.0,Leake,Teheran,Oh,2:59,N,40706,---,,2017,ATL
29,"Sunday, May 7",ATL,STL,L,4,6,14,11-18,5,9.0,Tuivailala,Collmenter,Siegrist,4:06,D,40200,----,,2017,ATL
37,"Wednesday, May 17",ATL,TOR,W,8,4,,16-21,2,8.0,Foltynewicz,Biagini,,2:59,N,28293,+++,,2017,ATL
38,"Thursday, May 18",ATL,TOR,L,0,9,,16-22,2,8.0,Stroman,Teheran,,3:02,N,25419,-,,2017,ATL
39,"Friday, May 19",ATL,WSN,W,7,4,,17-22,2,7.0,Vizcaino,Romero,Johnson,3:32,N,35369,+,,2017,ATL
40,"Saturday, May 20",ATL,WSN,W,5,2,,18-22,2,6.0,Krol,Scherzer,Johnson,3:20,D,37347,++,,2017,ATL
41,"Sunday, May 21",ATL,WSN,L,2,3,,18-23,2,7.0,Strasburg,Garcia,Glover,2:50,D,32895,-,,2017,ATL
42,"Monday, May 22",ATL,PIT,W,5,2,,19-23,2,6.5,Foltynewicz,Cole,Johnson,3:23,N,21896,+,,2017,ATL
43,"Tuesday, May 23",ATL,PIT,W-wo,6,5,,20-23,2,6.5,Jackson,Watson,,3:03,N,25040,++,,2017,ATL
44,"Wednesday, May 24",ATL,PIT,L,5,12,10,20-24,2,7.5,Vazquez,Collmenter,,4:02,N,25981,-,,2017,ATL
45,"Thursday, May 25",ATL,PIT,L,4,9,,20-25,2,7.5,Nova,Colon,,2:41,D,33713,--,,2017,ATL
55,"Monday, Jun 5",ATL,PHI,L,4,11,,24-31,2,11.5,Pivetta,Colon,,3:18,N,20942,-,,2017,ATL
56,"Tuesday, Jun 6",ATL,PHI,L,1,3,,24-32,2,12.5,Nola,Garcia,Neshek,2:42,N,23489,--,,2017,ATL
57,"Wednesday, Jun 7",ATL,PHI,W,14,1,,25-32,2,11.5,Foltynewicz,Eickhoff,,2:58,N,24185,+,,2017,ATL
58,"Thursday, Jun 8",ATL,PHI,W,3,1,,26-32,2,11.5,Dickey,Lively,Johnson,2:40,N,25095,++,,2017,ATL
59,"Friday, Jun 9",ATL,NYM,W-wo,3,2,,27-32,2,10.5,Johnson,Salas,,3:11,N,36791,+++,,2017,ATL
60,"Saturday, Jun 10 (1)",ATL,NYM,L,1,6,,27-33,3,11.0,Gsellman,Newcomb,Reed,3:05,D,27684,-,,2017,ATL
61,"Saturday, Jun 10 (2)",ATL,NYM,L,1,8,,27-34,3,11.0,Matz,Wisler,,2:41,N,40174,--,,2017,ATL
62,"Sunday, Jun 11",ATL,NYM,L,1,2,,27-35,3,11.0,Lugo,Garcia,Reed,3:01,D,30638,---,,2017,ATL
66,"Friday, Jun 16",ATL,MIA,L,0,5,,29-37,4,11.5,Straily,Newcomb,,2:44,N,38123,-,,2017,ATL
67,"Saturday, Jun 17",ATL,MIA,W-wo,8,7,10,30-37,3,11.5,Vizcaino,Ramos,,3:48,D,38661,+,,2017,ATL
68,"Sunday, Jun 18",ATL,MIA,W-wo,5,4,,31-37,2,10.5,Johnson,Steckenrider,,2:53,D,36912,++,,2017,ATL
69,"Monday, Jun 19",ATL,SFG,W,9,0,,32-37,2,9.5,Dickey,Cueto,,2:46,N,24723,+++,,2017,ATL
70,"Tuesday, Jun 20",ATL,SFG,L,3,6,,32-38,2,10.5,Moore,Teheran,Melancon,2:56,N,23823,-,,2017,ATL
71,"Wednesday, Jun 21",ATL,SFG,W-wo,5,3,11,33-38,2,9.5,Jackson,Gearrin,,3:16,N,25771,+,,2017,ATL
72,"Thursday, Jun 22",ATL,SFG,W,12,11,,34-38,2,9.0,Hursh,Cain,Johnson,3:37,N,25521,++,,2017,ATL
73,"Friday, Jun 23",ATL,MIL,W,5,4,,35-38,2,9.0,Foltynewicz,Nelson,Vizcaino,3:18,N,30521,+++,,2017,ATL
74,"Saturday, Jun 24",ATL,MIL,W,3,1,,36-38,2,9.0,Dickey,Garza,Johnson,2:57,D,38463,++++,,2017,ATL
75,"Sunday, Jun 25",ATL,MIL,L,0,7,,36-39,2,9.0,Davies,Teheran,,3:01,D,31634,-,,2017,ATL
82,"Tuesday, Jul 4",ATL,HOU,L,4,16,,40-42,2,9.0,Peacock,Newcomb,,3:39,N,41456,-,,2017,ATL
83,"Wednesday, Jul 5",ATL,HOU,L,4,10,,40-43,2,9.5,Devenski,Garcia,,3:21,N,37278,--,,2017,ATL
88,"Friday, Jul 14",ATL,ARI,W,4,3,,43-45,2,9.5,Brothers,Bradley,Johnson,3:02,N,38852,+,,2017,ATL
89,"Saturday, Jul 15",ATL,ARI,W,8,5,,44-45,2,9.5,Krol,Delgado,Johnson,3:28,N,41627,++,,2017,ATL
90,"Sunday, Jul 16",ATL,ARI,W,7,1,,45-45,2,9.5,Garcia,Godley,,2:47,D,36637,+++,,2017,ATL
91,"Monday, Jul 17",ATL,CHC,L,3,4,,45-46,2,10.5,Lester,Teheran,Davis,3:17,N,41256,-,,2017,ATL
92,"Tuesday, Jul 18",ATL,CHC,L,1,5,,45-47,2,11.5,Lackey,Newcomb,,3:01,N,41541,--,,2017,ATL
93,"Wednesday, Jul 19",ATL,CHC,L,2,8,,45-48,2,11.5,Montgomery,Dickey,,3:05,D,40054,---,,2017,ATL
105,"Tuesday, Aug 1",ATL,LAD,L,2,3,,48-57,4,15.0,Maeda,Sims,Jansen,2:54,N,32174,------,,2017,ATL
106,"Wednesday, Aug 2",ATL,LAD,W,5,3,,49-57,4,14.0,Brothers,Baez,Vizcaino,2:55,N,28107,+,,2017,ATL
107,"Thursday, Aug 3",ATL,LAD,L,4,7,,49-58,4,14.5,Wood,Newcomb,,3:29,N,29680,-,,2017,ATL
108,"Friday, Aug 4",ATL,MIA,W,5,3,,50-58,3,14.5,Dickey,Conley,Vizcaino,2:40,N,35914,+,,2017,ATL
109,"Saturday, Aug 5",ATL,MIA,W,7,2,,51-58,3,13.5,Foltynewicz,Straily,Vizcaino,2:58,N,40731,++,,2017,ATL
110,"Sunday, Aug 6",ATL,MIA,L,1,4,,51-59,3,14.5,Urena,Sims,Ziegler,2:29,D,29651,-,,2017,ATL
111,"Tuesday, Aug 8",ATL,PHI,L,2,5,,51-60,3,15.0,Eflin,Teheran,Neris,2:58,N,25783,--,,2017,ATL
112,"Wednesday, Aug 9",ATL,PHI,L,2,3,,51-61,3,16.0,Eickhoff,Newcomb,Neris,2:55,N,22776,---,,2017,ATL
120,"Friday, Aug 18",ATL,CIN,L,3,5,,54-66,3,19.0,Romano,Dickey,Iglesias,3:09,N,31174,-,,2017,ATL
121,"Saturday, Aug 19",ATL,CIN,L,8,11,,54-67,3,19.0,Stephenson,Teheran,,3:35,N,39317,--,,2017,ATL
122,"Sunday, Aug 20",ATL,CIN,W,8,1,,55-67,3,19.0,Newcomb,Castillo,,3:11,D,25758,+,,2017,ATL
123,"Monday, Aug 21",ATL,SEA,L,5,6,,55-68,3,19.5,Albers,Foltynewicz,Diaz,2:59,N,21284,-,,2017,ATL
124,"Tuesday, Aug 22",ATL,SEA,W,4,0,,56-68,3,19.5,Sims,Gonzales,,3:01,N,22947,+,,2017,ATL
125,"Wednesday, Aug 23",ATL,SEA,L,6,9,,56-69,3,19.5,Phelps,Johnson,Diaz,3:07,N,23890,-,,2017,ATL
126,"Friday, Aug 25",ATL,COL,W,5,2,,57-69,3,19.0,Teheran,Bettis,Vizcaino,2:32,N,33577,+,,2017,ATL
127,"Saturday, Aug 26",ATL,COL,L,6,7,,57-70,3,20.0,Neshek,Vizcaino,McGee,3:24,N,32448,-,,2017,ATL
128,"Sunday, Aug 27",ATL,COL,L,0,3,,57-71,3,20.5,Gray,Foltynewicz,McGee,3:09,D,28154,--,,2017,ATL
136,"Monday, Sep 4",ATL,TEX,L,2,8,,60-76,3,22.5,Cashner,Dickey,,2:50,N,23474,-,,2017,ATL
137,"Wednesday, Sep 6 (1)",ATL,TEX,L,8,12,,60-77,3,23.5,Bibens-Dirkx,Gohara,,3:30,D,19971,--,,2017,ATL
138,"Wednesday, Sep 6 (2)",ATL,TEX,W,5,4,,61-77,3,23.5,Teheran,Hamels,Vizcaino,3:03,N,20364,+,,2017,ATL
139,"Thursday, Sep 7",ATL,MIA,W-wo,6,5,,62-77,3,23.5,Brothers,Ziegler,,3:23,N,23561,++,,2017,ATL
140,"Friday, Sep 8",ATL,MIA,L,1,7,,62-78,3,24.5,Urena,Foltynewicz,,3:16,N,30056,-,,2017,ATL
141,"Saturday, Sep 9",ATL,MIA,W-wo,6,5,,63-78,3,23.5,Vizcaino,Barraclough,,3:21,N,34043,+,,2017,ATL
142,"Sunday, Sep 10",ATL,MIA,W-wo,10,8,11,64-78,3,23.5,Vizcaino,Worley,,3:47,D,34974,++,,2017,ATL
146,"Friday, Sep 15",ATL,NYM,W,3,2,,67-79,3,21.5,Newcomb,Montero,Vizcaino,3:05,N,29402,+,,2017,ATL
147,"Saturday, Sep 16",ATL,NYM,L,3,7,,67-80,3,21.5,deGrom,Dickey,,2:45,N,37846,-,,2017,ATL
148,"Sunday, Sep 17",ATL,NYM,L,1,5,,67-81,3,22.5,Gsellman,Teheran,,2:59,D,32785,--,,2017,ATL
149,"Tuesday, Sep 19",ATL,WSN,L,2,4,,67-82,3,23.5,Scherzer,Gohara,Doolittle,3:01,N,26709,---,,2017,ATL
150,"Wednesday, Sep 20",ATL,WSN,L,3,7,,67-83,3,24.5,Gonzalez,Ramirez,,2:51,N,25054,----,,2017,ATL
151,"Thursday, Sep 21",ATL,WSN,W,3,2,,68-83,3,23.5,Dickey,Roark,Vizcaino,2:18,N,32702,+,,2017,ATL
152,"Friday, Sep 22",ATL,PHI,W,7,2,,69-83,3,22.5,Newcomb,Lively,,2:56,N,33702,++,,2017,ATL
153,"Saturday, Sep 23",ATL,PHI,W,4,2,,70-83,3,22.5,Brothers,Garcia,Vizcaino,2:50,N,39809,+++,,2017,ATL
154,"Sunday, Sep 24",ATL,PHI,L,0,2,,70-84,3,23.5,Pivetta,Gohara,Neris,2:38,D,33183,-,,2017,ATL
1,"Thursday, Mar 29",ATL,PHI,W-wo,8,5,,1-0,1,Tied,Vizcaino,Neris,,3:28,D,40208,+,,2018,ATL
2,"Friday, Mar 30",ATL,PHI,L,4,5,11,1-1,3,0.5,Hutchison,Carle,,4:16,N,35123,-,,2018,ATL
3,"Saturday, Mar 31",ATL,PHI,W,15,2,,2-1,3,0.5,McCarthy,Velasquez,,3:21,N,37777,+,,2018,ATL
4,"Monday, Apr 2",ATL,WSN,L,1,8,,2-2,3,2.0,Roark,Newcomb,,2:55,N,25054,-,,2018,ATL
5,"Tuesday, Apr 3",ATL,WSN,W,13,6,,3-2,3,1.0,Carle,Cole,,3:10,N,26782,+,,2018,ATL
6,"Wednesday, Apr 4",ATL,WSN,W,7,1,,4-2,2,0.5,Foltynewicz,Scherzer,,3:06,D,29834,++,,2018,ATL
15,"Monday, Apr 16",ATL,PHI,W,2,1,,9-6,2,3.0,Teheran,Nola,Vizcaino,2:40,N,17812,+,,2018,ATL
16,"Tuesday, Apr 17",ATL,PHI,L,1,5,10,9-7,3,3.0,Neris,Ramirez,,3:36,N,17913,-,,2018,ATL
17,"Wednesday, Apr 18",ATL,PHI,W,7,3,,10-7,2,3.0,McCarthy,Velasquez,,3:08,N,22135,+,,2018,ATL
18,"Thursday, Apr 19",ATL,NYM,W,12,4,,11-7,2,2.0,Wisler,Harvey,,3:00,N,23610,++,,2018,ATL
19,"Friday, Apr 20",ATL,NYM,L,3,5,12,11-8,3,3.0,Gsellman,Ravin,Familia,3:51,N,39016,-,,2018,ATL
20,"Saturday, Apr 21",ATL,NYM,W-wo,4,3,,12-8,3,2.0,Biddle,Familia,,3:07,N,41396,+,,2018,ATL
31,"Friday, May 4",ATL,SFG,L,4,9,,19-12,1,up 1.5,Stratton,Foltynewicz,,2:45,N,41807,-,,2018,ATL
32,"Saturday, May 5",ATL,SFG,L,2,11,,19-13,1,up 1.0,Blach,McCarthy,,2:58,N,38264,--,,2018,ATL
33,"Sunday, May 6",ATL,SFG,L,3,4,,19-14,1,up 1.0,Suarez,Soroka,Strickland,3:09,D,37896,---,,2018,ATL
41,"Tuesday, May 15",ATL,CHC,L,2,3,,25-16,1,up 1.0,Edwards,Vizcaino,Morrow,2:51,N,34452,-,,2018,ATL
42,"Wednesday, May 16",ATL,CHC,W,4,1,,26-16,1,up 1.0,Minter,Edwards,Vizcaino,2:55,N,28264,+,,2018,ATL
43,"Friday, May 18",ATL,MIA,L,0,2,,26-17,1,up 0.5,Straily,Wisler,Ziegler,2:36,N,27705,-,,2018,ATL
44,"Saturday, May 19",ATL,MIA,W,8,1,,27-17,1,up 0.5,Newcomb,Urena,,2:28,N,37715,+,,2018,ATL
45,"Sunday, May 20",ATL,MIA,W-wo,10,9,,28-17,1,up 1.5,Minter,Guerrero,,3:19,D,28352,++,,2018,ATL
52,"Monday, May 28 (1)",ATL,NYM,W-wo,4,3,,31-21,1,Tied,Carle,Lugo,,3:05,D,32377,++,,2018,ATL
53,"Monday, May 28 (2)",ATL,NYM,L,5,8,,31-22,1,Tied,Gsellman,Minter,Familia,3:21,N,31779,-,,2018,ATL
54,"Tuesday, May 29",ATL,NYM,W-wo,7,6,,32-22,1,Tied,Winkler,Bautista,,3:11,N,19443,+,,2018,ATL
55,"Wednesday, May 30",ATL,NYM,L,1,4,,32-23,2,1.0,Vargas,Teheran,Gsellman,2:42,N,21449,-,,2018,ATL
56,"Thursday, May 31",ATL,WSN,W,4,2,,33-23,1,Tied,Newcomb,Roark,Vizcaino,2:39,N,22380,+,,2018,ATL
57,"Friday, Jun 1",ATL,WSN,W,4,0,,34-23,1,up 1.0,Foltynewicz,Strasburg,,2:24,N,33845,++,,2018,ATL
58,"Saturday, Jun 2",ATL,WSN,L,3,5,14,34-24,1,Tied,Miller,Socolovich,Doolittle,4:00,D,39578,-,,2018,ATL
59,"Sunday, Jun 3",ATL,WSN,W-wo,4,2,,35-24,1,up 1.0,Vizcaino,Roark,,2:47,D,33132,+,,2018,ATL
66,"Tuesday, Jun 12",ATL,NYM,W,8,2,,38-28,1,up 0.5,Carle,Wheeler,,2:45,N,29892,+,,2018,ATL
67,"Wednesday, Jun 13",ATL,NYM,W,2,0,,39-28,1,up 0.5,Soroka,deGrom,Vizcaino,2:12,D,32015,++,,2018,ATL
68,"Thursday, Jun 14",ATL,SDP,W,4,2,,40-28,1,up 1.0,Sanchez,Ross,Vizcaino,2:26,N,25250,+++,,2018,ATL
69,"Friday, Jun 15",ATL,SDP,L,3,9,,40-29,1,up 1.0,Richard,Freeman,,2:50,N,41497,-,,2018,ATL
70,"Saturday, Jun 16",ATL,SDP,W,1,0,,41-29,1,up 2.0,Newcomb,Lyles,Vizcaino,2:19,N,41916,+,,2018,ATL
71,"Sunday, Jun 17",ATL,SDP,W,4,1,,42-29,1,up 3.0,Teheran,Castillo,Vizcaino,3:10,D,40251,++,,2018,ATL
74,"Friday, Jun 22",ATL,BAL,L,7,10,15,43-31,1,up 2.5,Wright,Moylan,,5:21,N,37192,--,,2018,ATL
75,"Saturday, Jun 23",ATL,BAL,L,5,7,,43-32,1,up 1.5,Bundy,Teheran,Britton,3:08,D,40333,---,,2018,ATL
76,"Sunday, Jun 24",ATL,BAL,W,7,3,,44-32,1,up 2.5,McCarthy,Hess,,2:54,D,33794,+,,2018,ATL
77,"Monday, Jun 25",ATL,CIN,W-wo,5,4,11,45-32,1,up 3.5,Jackson,Floro,,3:45,N,27851,++,,2018,ATL
78,"Tuesday, Jun 26",ATL,CIN,L,3,5,,45-33,1,up 3.5,Harvey,Sanchez,Iglesias,3:20,N,28356,-,,2018,ATL
79,"Wednesday, Jun 27",ATL,CIN,L,5,6,,45-34,1,up 2.5,Stephens,Freeman,Iglesias,3:01,D,30207,--,,2018,ATL
90,"Tuesday, Jul 10",ATL,TOR,L,2,6,,50-40,2,1.0,Stroman,Minter,,2:58,N,31747,--,,2018,ATL
91,"Wednesday, Jul 11",ATL,TOR,W,9,5,,51-40,1,Tied,Foltynewicz,Gaviglio,,2:58,N,27839,+,,2018,ATL
92,"Friday, Jul 13",ATL,ARI,L,1,2,,51-41,2,1.5,Godley,Freeman,Boxberger,3:05,N,42130,-,,2018,ATL
93,"Saturday, Jul 14",ATL,ARI,L,0,3,,51-42,2,1.5,Greinke,Newcomb,Boxberger,2:53,D,40862,--,,2018,ATL
94,"Sunday, Jul 15",ATL,ARI,W,5,1,,52-42,2,0.5,Teheran,Corbin,,2:42,D,27323,+,,2018,ATL
99,"Thursday, Jul 26",ATL,LAD,L,2,8,,54-45,2,2.5,Hill,Sanchez,,2:55,N,40706,--,,2018,ATL
100,"Friday, Jul 27",ATL,LAD,L,1,4,,54-46,2,2.5,Kershaw,Foltynewicz,Jansen,2:51,N,41647,---,,2018,ATL
101,"Saturday, Jul 28",ATL,LAD,L,1,5,,54-47,2,2.5,Wood,Fried,,3:22,N,41758,----,,2018,ATL
102,"Sunday, Jul 29",ATL,LAD,W,4,1,,55-47,2,1.5,Newcomb,Stripling,,2:47,D,40303,+,,2018,ATL
103,"Monday, Jul 30",ATL,MIA,W,5,3,,56-47,2,0.5,Teheran,Chen,Minter,2:49,N,21230,++,,2018,ATL
104,"Tuesday, Jul 31",ATL,MIA,W,11,6,,57-47,2,0.5,Allard,Straily,,2:53,N,18627,+++,,2018,ATL
113,"Friday, Aug 10",ATL,MIL,W,10,1,,63-50,1,Tied,Gausman,Peralta,,2:59,N,36519,+,,2018,ATL
114,"Saturday, Aug 11",ATL,MIL,L,2,4,,63-51,2,1.0,Burnes,Biddle,Hader,2:42,N,40297,-,,2018,ATL
115,"Sunday, Aug 12",ATL,MIL,W,8,7,,64-51,1,Tied,Venters,Jennings,Minter,3:19,D,25360,+,,2018,ATL
116,"Monday, Aug 13 (1)",ATL,MIA,W,9,1,,65-51,1,up 1.0,Toussaint,Lopez,,2:39,D,16049,++,,2018,ATL
117,"Monday, Aug 13 (2)",ATL,MIA,W,6,1,,66-51,1,up 1.0,Foltynewicz,Gonzalez,,2:58,N,18186,+++,,2018,ATL
118,"Tuesday, Aug 14",ATL,MIA,W,10,6,,67-51,1,up 2.0,Biddle,Conley,,2:52,N,19409,++++,,2018,ATL
119,"Wednesday, Aug 15",ATL,MIA,W,5,2,,68-51,1,up 2.0,Gausman,Garcia,Minter,2:50,N,19045,+++++,,2018,ATL
120,"Thursday, Aug 16",ATL,COL,L,3,5,,68-52,1,up 1.5,Oh,Brach,Davis,2:53,N,23428,-,,2018,ATL
121,"Friday, Aug 17",ATL,COL,L,5,11,,68-53,1,up 0.5,Freeland,Newcomb,,3:37,N,28964,--,,2018,ATL
122,"Saturday, Aug 18",ATL,COL,L,3,5,10,68-54,1,up 0.5,Ottavino,Jackson,Davis,3:31,N,42143,---,,2018,ATL
123,"Sunday, Aug 19",ATL,COL,L,2,4,,68-55,1,up 0.5,Marquez,Sanchez,Davis,2:41,D,33942,----,,2018,ATL
131,"Tuesday, Aug 28",ATL,TBR,W,9,5,,74-57,1,up 4.5,Brach,Roe,,3:10,N,21216,++,,2018,ATL
132,"Wednesday, Aug 29",ATL,TBR,L,5,8,,74-58,1,up 3.5,Beeks,Newcomb,Alvarado,3:06,N,20876,-,,2018,ATL
